         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
        9.31      0.3512      0.3301      0.1493      0.1584       0.013       0.216       0.182      10.226       0.024       0.813       8.228          0.11     26616.      0.2949
       11.17      0.4214      0.3894      0.1500      0.1618       0.014       0.221       0.183      10.447       0.025       0.817       8.085          0.11     26758.      0.2903
       13.04      0.4916      0.4450      0.1508      0.1662       0.014       0.227       0.184      10.727       0.026       0.821       7.914          0.11     26918.      0.2850
       14.89      0.5618      0.4962      0.1517      0.1714       0.015       0.233       0.185      11.064       0.026       0.827       7.720          0.11     27098.      0.2787
       16.76      0.6321      0.5427      0.1527      0.1774       0.015       0.242       0.186      11.454       0.028       0.831       7.503          0.11     27298.      0.2717
       18.62      0.7023      0.5842      0.1535      0.1842       0.016       0.252       0.188      11.892       0.029       0.835       7.269          0.11     27517.      0.2637
       20.48      0.7725      0.6208      0.1540      0.1915       0.017       0.262       0.189      12.364       0.030       0.839       7.022          0.11     27756.      0.2552
       22.34      0.8427      0.6526      0.1542      0.1991       0.018       0.272       0.189      12.854       0.030       0.839       6.768          0.11     28014.      0.2460
       24.20      0.9129      0.6799      0.1537      0.2066       0.018       0.281       0.188      13.336       0.032       0.837       6.511          0.11     28292.      0.2361
       26.06      0.9832      0.7033      0.1522      0.2133       0.019       0.291       0.186      13.768       0.033       0.829       6.256          0.12     28588.      0.2258
       27.93      1.0534      0.7237      0.1495      0.2183       0.019       0.297       0.183      14.092       0.034       0.814       6.009          0.12     28903.      0.2148
       29.80      1.1236      0.7416      0.1451      0.2207       0.019       0.301       0.177      14.245       0.034       0.790       5.776          0.12     29236.      0.2034
       31.66      1.1939      0.7580      0.1389      0.2197       0.019       0.299       0.170      14.182       0.034       0.756       5.557          0.12     29586.      0.1915
       33.52      1.2641      0.7729      0.1311      0.2153       0.018       0.293       0.161      13.901       0.033       0.714       5.353          0.12     29954.      0.1792
       35.38      1.3343      0.7860      0.1220      0.2079       0.018       0.283       0.149      13.423       0.033       0.664       5.158          0.12     30338.      0.1665
       37.24      1.4045      0.7964      0.1118      0.1980       0.017       0.270       0.137      12.777       0.030       0.609       4.965          0.12     30736.      0.1535
       39.11      1.4747      0.8033      0.1008      0.1857       0.016       0.254       0.123      11.990       0.029       0.549       4.770          0.12     31148.      0.1400
       40.97      1.5450      0.8053      0.0891      0.1717       0.015       0.234       0.109      11.081       0.026       0.485       4.565          0.12     31573.      0.1260
       42.83      1.6153      0.8005      0.0770      0.1559       0.013       0.212       0.095      10.066       0.024       0.419       4.341          0.12     32011.      0.1114
       44.69      1.6854      0.7862      0.0645      0.1388       0.012       0.189       0.079       8.957       0.021       0.351       4.083          0.12     32460.      0.0959
       46.55      1.7557      0.7573      0.0517      0.1203       0.010       0.164       0.063       7.768       0.018       0.282       3.775          0.12     32920.      0.0794
       48.41      1.8259      0.7050      0.0388      0.1008       0.009       0.138       0.048       6.506       0.015       0.211       3.375          0.12     33392.      0.0615
       50.27      1.8962      0.6108      0.0258      0.0803       0.007       0.110       0.032       5.187       0.013       0.141       2.812          0.13     33872.      0.0418
       52.14      1.9664      0.4293      0.0129      0.0592       0.005       0.081       0.016       3.817       0.009       0.071       1.900          0.14     34364.      0.0200
       54.00      2.0366      0.0080      0.0002      0.0374       0.004       0.052       0.000       2.414       0.005       0.001       0.034          0.14     34864.      0.0000



         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1496      0.1511       0.026       0.322       0.286      19.051       0.037       1.273       6.963          0.14     32720.      0.3124
        2.33      0.0704      0.0695      0.1491      0.1510       0.026       0.322       0.285      19.038       0.036       1.268       6.935          0.14     32791.      0.3106
        4.67      0.1409      0.1383      0.1488      0.1514       0.026       0.323       0.285      19.086       0.037       1.266       6.894          0.14     32880.      0.3085
        7.00      0.2112      0.2060      0.1488      0.1524       0.026       0.325       0.284      19.214       0.037       1.266       6.838          0.14     32989.      0.3060
        9.34      0.2816      0.2718      0.1491      0.1542       0.026       0.329       0.285      19.434       0.038       1.268       6.764          0.14     33119.      0.3029
       11.67      0.3520      0.3352      0.1496      0.1567       0.026       0.334       0.286      19.758       0.038       1.273       6.668          0.14     33272.      0.2990
       14.01      0.4224      0.3953      0.1502      0.1602       0.027       0.341       0.287      20.194       0.038       1.278       6.550          0.14     33450.      0.2944
